UniProtAC	LOC_GO	LOC_NAME	In SwissProt	ChildOf SwissProt	In LocTree3	Confirmed	Num Docs	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID	PMID
P22543	GO:0005764	lysosome	FALSE	FALSE	FALSE		3	8387919	7642697	9702203																																																																								
P41821	GO:0032157	prospore contractile ring	FALSE	FALSE	FALSE		3	21376595	15572668	23149940																																																																								
P32468	GO:0005884	actin filament	FALSE	FALSE	FALSE		3	22887981	25977474	24127216																																																																								
P53855	GO:0005773	vacuole	FALSE	TRUE	FALSE		3	11382760	11382761	11689437																																																																								
P00635	GO:0005634	nucleus	FALSE	FALSE	FALSE		3	10196275	16203747	8539622																																																																								
P53086	GO:0005819	spindle	FALSE	FALSE	FALSE		3	9281582	9693366	16906145																																																																								
P38248	GO:0009986	cell surface	FALSE	FALSE	FALSE		3	15583168	16400176	22848669																																																																								
P08679	GO:0005739	mitochondrion	FALSE	TRUE	FALSE		3	11098150	10587442	2181273																																																																								
P36132	GO:0005886	plasma membrane	FALSE	FALSE	FALSE		3	15764369	25616663	26049106																																																																								
P60010	GO:0005768	endosome	FALSE	FALSE	FALSE		3	14561408	21451250	11854411																																																																								
P29465	GO:0005802	trans-Golgi network	FALSE	TRUE	FALSE		3	16498409	19066017	21113731																																																																								
P38801	GO:0070062	extracellular exosome	FALSE	FALSE	FALSE		3	18591258	24558481	21713680																																																																								
P40477	GO:0005737	cytoplasm	FALSE	FALSE	FALSE		3	15459192	9736720	11352936																																																																								
P38991	GO:0005813	centrosome	FALSE	FALSE	FALSE		3	12740874	10066797	10519006																																																																								
P60010	GO:0005769	early endosome	FALSE	FALSE	FALSE		3	26626407	22383880	26914139																																																																								
P13134	GO:0005768	endosome	FALSE	FALSE	FALSE		3	15537705	9314526	10393104																																																																								
P41939	GO:0005777	peroxisome	FALSE	FALSE	FALSE		3	19854152	18275837	15001388																																																																								
P02994	GO:0005874	microtubule	FALSE	TRUE	FALSE		3	11854414	10194136	10526238																																																																								
P13134	GO:0000139	Golgi membrane	FALSE	FALSE	FALSE		3	8930891	7961747	1322413																																																																								
Q00402	GO:0005739	mitochondrion	FALSE	FALSE	FALSE		3	17336903	20505073	26839174																																																																								
P19073	GO:0005884	actin filament	FALSE	FALSE	FALSE		3	25561732	9679143	11154270																																																																								
P46965	GO:0005634	nucleus	FALSE	FALSE	FALSE		3	9585506	10233152	12181336																																																																								
P31378	GO:0000262	mitochondrial chromosome	FALSE	TRUE	FALSE		3	16730479	12024022	24373996																																																																								
P11076	GO:0005802	trans-Golgi network	FALSE	TRUE	FALSE		3	11950392	22996016	25610717																																																																								
P23724	GO:0005778	peroxisomal membrane	FALSE	FALSE	FALSE		3	16813573	9653144	11370741																																																																								
P19145	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		3	9199164	18434603	11592960																																																																								
P53286	GO:0005794	Golgi apparatus	FALSE	FALSE	FALSE		3	17101785	15701790	21441304																																																																								
P53982	GO:0005829	cytosol	FALSE	TRUE	TRUE		3	9813062	19854152	15001388																																																																								
P39010	GO:0005886	plasma membrane	FALSE	TRUE	FALSE		3	10866691	14668479	15105419																																																																								
P13134	GO:0005783	endoplasmic reticulum	FALSE	FALSE	FALSE		3	1543492	1618297	19047746																																																																								
P40416	GO:0005829	cytosol	FALSE	FALSE	FALSE		3	19761223	12875842	10406803																																																																								
P41697	GO:0015629	actin cytoskeleton	FALSE	FALSE	FALSE		3	9632790	9247651	19633059																																																																								
Q04272	GO:0005771	multivesicular body	FALSE	TRUE	FALSE		3	14583093	12953057	11559748																																																																								
Q03770	GO:0005576	extracellular region	FALSE	FALSE	FALSE		3	10409731	18307103	11154269																																																																								
P13134	GO:0005774	vacuolar membrane	FALSE	FALSE	FALSE		3	12244127	7785320	9175702																																																																								
P25491	GO:0005789	endoplasmic reticulum membrane	FALSE	FALSE	FALSE		3	28262489	18812321	8144572																																																																								
P53070	GO:0005881	cytoplasmic microtubule	FALSE	FALSE	FALSE		3	19001497	20970338	15800064																																																																								
P41806	GO:0005773	vacuole	FALSE	FALSE	FALSE		3	23315026	15356264	7841520																																																																								
